1177357251847364608,laSegunda,16:00 - 26 sept. 2019,"¿La mejor inversión del año? Beyond Meat y Not Co. explican la fiebre por las ""foodtech"". http://ow.ly/WKPX50wsthg pic.twitter.com/6TD5KIAZ5l"
1177342159621709824,laSegunda,15:00 - 26 sept. 2019,"Vecinos de Lo Curro en alerta por ""exceso"" de proyectos. http://ow.ly/IaLH50wst41 pic.twitter.com/4IynM9IIbo"
1177327059330318337,laSegunda,14:00 - 26 sept. 2019,Rodrigo Valdés lidera el divorcio político-técnico de la oposición. http://ow.ly/ENPq50wssW9 pic.twitter.com/K2Le6WwtXo
1177311952755994625,laSegunda,13:00 - 26 sept. 2019,Revelan denuncia completa contra Donald Trump. http://ow.ly/AUpG50wssMr pic.twitter.com/T4VATjtzxe
1177296857015492608,laSegunda,12:00 - 26 sept. 2019,"Ausencias, rol del Frente Amplio y presión sobre diputados complican a Cubillos. http://ow.ly/PzDY50wssEr pic.twitter.com/tQExno1YsP"
1177281781978030080,laSegunda,11:00 - 26 sept. 2019,"La Moneda califica de ""grave"" la denuncia contra Salaberry y UDI sale a defenderlo. http://ow.ly/7uLv50wskGM pic.twitter.com/sfnaiusR1W"
1177266678704562176,laSegunda,10:00 - 26 sept. 2019,¡PORTADA DE HOY! Revisa todas las noticias y entrevistas en http://www.lasegunda.com pic.twitter.com/5pYQ4Im8UE
1177009962565980161,laSegunda,17:00 - 25 sept. 2019,"Conversación con Mary Rose McGill: ""Kast es tan buenmozo, rubio de ojos azules"". http://ow.ly/12UA50wr0ha pic.twitter.com/0KqVjA5ikh"
1176994861507121153,laSegunda,16:00 - 25 sept. 2019,Quererlo y lograrlo: Cuatro caminos para sentarse en el directorio de una empresa. http://ow.ly/SCZv50wr0ah pic.twitter.com/RVGqnjTdfM
1176979773748367367,laSegunda,15:00 - 25 sept. 2019,"Los ""rostros"" tras la estrategia de Atria para enfrentar a AFPs. http://ow.ly/qiXS50wqZT5 pic.twitter.com/x6vDTW3zag"
1186441194643120129,el mostrador,17:36 - 21 oct. 2019,Piñera sin brújula: repite discurso de la delincuencia e ignora las movilizaciones que tiene en las calles https://tinyurl.com/y67mnvzq pic.twitter.com/psjfelnFlp
1186437007981109250,el mostrador,17:20 - 21 oct. 2019,"Diario de centroderecha italiano habla de la ""pizza"" de Piñera y de la crisis en Chile
https://tinyurl.com/yxcrqvw5 pic.twitter.com/D5XHY9DxZr"
1186434491008471041,el mostrador,17:10 - 21 oct. 2019,"Académicos del extranjero condenan actuar del Gobierno: “Exigimos a Piñera el cese inmediato de la represión”
https://tinyurl.com/y68pzj9g pic.twitter.com/maYJCUWxIH"
1186431976082833408,el mostrador,17:00 - 21 oct. 2019,"LO + DESTACADO| General Iturriaga “evade” el tono bélico y aclara que no está en guerra con nadie
https://tinyurl.com/y3rpm2z4 pic.twitter.com/kxY9m5akYn"
1186430075736133633,el mostrador,16:52 - 21 oct. 2019,"Se suma la región del Maule: decretan toque de queda para Talca
https://tinyurl.com/y3t9pnko pic.twitter.com/BmadDwe38s"
1186428049606270976,el mostrador,16:44 - 21 oct. 2019,AHORA| No hay anuncios concretos en el discurso de Piñera para hacer frente a las demandas sociales y añadió que “estamos trabajando en reconstrucción” por daños que significan “cientos de millones de dólares”pic.twitter.com/stoSP19jxy
1186425963770515456,el mostrador,16:36 - 21 oct. 2019,AHORA| Piñera anuncia que mañana martes se reunirá con presidentes de partidos para avanzar en un “acuerdo social”pic.twitter.com/Jpr3uFEcJ1
1186425698027802624,el mostrador,16:35 - 21 oct. 2019,"AHORA| Piñera habla en La Moneda: parte reconociendo el derecho a manifestarse pacíficamente, pero insiste en que “pequeños grupos de delincuentes” actúan “con organización y con medios, con alevosía y maldad”pic.twitter.com/UwjYfEQlVU"
1186424425123438598,el mostrador,16:30 - 21 oct. 2019,"VIDEO| ""Les pido clemencia y piedad"": el emotivo llamado de una señora de la tercera edad al Gobierno en medio de la crisis
https://tinyurl.com/yxseqe7c pic.twitter.com/DRW5cc7ynM"
1186420935236161537,el mostrador,16:16 - 21 oct. 2019,"BRAGA| Iguales llama al Gobierno a enfrentar la situación país con respeto a los DD.HH
https://tinyurl.com/y3w8sm35 pic.twitter.com/WSthYloRBC"
1186420364269772800,el mostrador,16:13 - 21 oct. 2019,"Fiscalía acusa a un militar por lesiones graves contra un civil en Colina
https://tinyurl.com/yyhlbzyw pic.twitter.com/N2nTrc1uSF"
1186414907534823426,el mostrador,15:52 - 21 oct. 2019,"AHORA| Director del GAM @Fmella niega saqueo: ""En la radio informaron que estaban saqueando el Gam, quiero informarles que eso NO es verdad! Hay gente que entró a la construcción, por el momento nuestro centro se mantiene sin problemas!""pic.twitter.com/DGetaga3qC"
1186410961382584321,el mostrador,15:36 - 21 oct. 2019,"Ante la crisis social senadores aprueban rápidamente ley de rebaja de pasajes del Metro
https://tinyurl.com/yxk3nxwn pic.twitter.com/mKwnAZRnrx"
1186409326258409477,el mostrador,15:30 - 21 oct. 2019,"GENERACIÓN M| Se inaugura el primer centro de inversiones inmobiliarias del país
https://tinyurl.com/y5dx63xa pic.twitter.com/R0SHz52Gmj"
1186406889019580422,el mostrador,15:20 - 21 oct. 2019,"Marcha que comenzó en Plaza Italia y que se iba a alargar ""hasta donde lleguen las piernas"" es detenida por militares en Apoquindo
https://tinyurl.com/yxfcoo2o pic.twitter.com/YkcnmzjZV6"
1186401776968159232,el mostrador,15:00 - 21 oct. 2019,"AGENDA PAÍS| Walmart informa de supermercados en funcionamiento
https://tinyurl.com/y6t24aoq pic.twitter.com/jQxcVVXo0g"
1186398000681308160,el mostrador,14:45 - 21 oct. 2019,"OPINIÓN| El ""guasón"" y la explosión de la sociedad civil en Chile
https://tinyurl.com/y33p87bc pic.twitter.com/of0YIJJX2V"
1186397422349623296,el mostrador,14:42 - 21 oct. 2019,"La marcha que comenzó en Plaza Italia y que se iba a alargar ""hasta donde lleguen las piernas"" llegó a Apoquindo, donde se encontraron con militares cortando la callepic.twitter.com/aWV3Qk8ECv"
1186396742465441792,el mostrador,14:40 - 21 oct. 2019,"VIDEO| Error no forzado: bomba lacrimógena estalla al interior de carro policial en Concepción
https://tinyurl.com/yxb8tajo pic.twitter.com/TFYM722mTO"
1186452665309548544,T13,18:22 - 21 oct. 2019,Formalizan a primer militar por disparar en contra de un civil durante el Estado de Emergencia » http://t13.cl/319182 pic.twitter.com/YwK4sBt4bQ
1186451576359211009,T13,18:17 - 21 oct. 2019," Esta es la munición que fue disparada por tanqueta a edificios de departamentos. 

 EN VIVO » http://t13.cl/318908 pic.twitter.com/eUvrYZhqsE"
1186449612745445379,T13,18:10 - 21 oct. 2019," Reportan disparos por parte de efectivos militares a edificio de departamentos.

 EN VIVO » http://t13.cl/318908 pic.twitter.com/woOillLu2P"
1186448859620413442,T13,18:07 - 21 oct. 2019,"Heraldo Muñoz, Presidente del PPD se refiere a la reunión con partidos políticos anunciada por Presidente Piñera.

 EN VIVO » http://t13.cl/318908 pic.twitter.com/UUmd0o74Rq"
1186443927387283456,T13,17:47 - 21 oct. 2019,INDH estima en al menos 88 las personas heridas por armas de fuego en manifestaciones » http://t13.cl/319198 pic.twitter.com/TciyQPGvTN
1186442474539094018,T13,17:41 - 21 oct. 2019," Formalizan al primer militar por disparos a un civil en Colina. 

 EN VIVO » http://t13.cl/318908 pic.twitter.com/JJfNhb2I9o"
